Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-2.4375,-119.5,232.375,0.85,-0.4,7.39,0,0,0
2,-10.75,-79.4375,219.9375,0.93,-0.8,6.74,0,0,0
3,-9.1875,-50.0625,209.625,0.9,-0.89,6.47,0,0,0
4,-10.75,-41.375,208,1.48,-0.89,6.6,0,0,0
5,-13.625,-20.875,204.3125,1.72,-1.61,6.62,0,0,0
6,-16.125,-8.25,199.1875,1.74,-1.92,6.64,0,0,0
7,-23.75,22.5625,179.375,0.75,-2.11,6.39,0,0,0
8,-37.75,49.0625,148.375,0.67,-2.33,6.27,0,0,0
9,-43.6875,62.25,131.8125,0.68,-2.73,6.09,0,0,0
10,-40.8125,96.375,105.4375,1.1,-3.93,5.9,0,0,0
11,-31.3125,120.25,95.125,1.31,-4.36,6.22,0,0,0
12,4,170.9375,70.5625,-0.63,-5.64,6.73,0,0,0
13,45,193.0625,30.6875,-2.05,-5.87,7.95,0,0,0
14,55,192.75,6.6875,-2.48,-5.29,9.68,0,0,0
15,43.4375,186.5625,-41.375,-2.5,-5.01,11.1,0,0,0
16,11.9375,185.0625,-84,-3.23,-5.15,11.35,0,0,0
17,3.0625,181.1875,-104,-3.44,-5.15,11.03,0,0,0
18,12.75,163.1875,-136.9375,-3.71,-4.23,10.37,0,0,0
19,50.9375,135.6875,-155.375,-3.91,-4.14,10.28,0,0,0
20,78.6875,119.3125,-160.8125,-3.9,-3.96,10.25,0,0,0
21,139.9375,88.75,-173.625,-4.55,-2.72,10.74,0,0,0
22,166.75,56.125,-185.75,-5.84,-0.56,12.27,0,0,0
23,157.6875,38.6875,-194.4375,-5.63,-0.1,12.53,0,0,0
24,111.3125,10.8125,-207.6875,-5.33,1.08,12.48,0,0,0
25,59.375,-4.4375,-206.4375,-4.42,1.47,11.54,0,0,0
26,40.5,-12.75,-200.75,-4.43,1.12,11.15,0,0,0
27,33,-41.75,-181.375,-4.87,-0.18,9.33,0,0,0
28,62.5,-75.6875,-172.9375,-4.86,1.13,9.26,0,0,0
29,71.25,-89,-168.1875,-4.33,2.25,9.54,0,0,0
30,74.5625,-93.625,-147.5625,-3.59,3.42,9.64,0,0,0
31,68.875,-99.1875,-111.25,-2.92,4.13,9.74,0,0,0
32,61.5,-107.0625,-87.875,-2.81,4.45,9.55,0,0,0
33,40.875,-128.4375,-38.875,-2.01,4.91,8.99,0,0,0
34,16.5,-137.9375,13.1875,-1.42,4.89,8.98,0,0,0
35,6.75,-134.75,40.3125,-0.87,4.55,8.42,0,0,0
36,0.1875,-125.625,89.375,-1.03,3.54,7.33,0,0,0
37,-1.125,-112.1875,126.75,-1.01,3.26,7.28,0,0,0
38,-2.0625,-102.875,141.875,-0.22,2.28,7.14,0,0,0
39,4.25,-75.3125,169.5625,0.27,1.41,6.71,0,0,0
40,10.1875,-59.5,180.875,-0.11,0.25,6.67,0,0,0
41,23.5,-30.6875,188.3125,-0.51,-0.79,6.68,0,0,0
42,33.6875,-11.6875,171.75,-0.67,-1.08,7.03,0,0,0
43,37.375,-3.875,156.75,-0.78,-0.79,7.09,0,0,0
44,27.375,4.6875,130.0625,0.18,0.51,8.03,0,0,0
45,7.875,7.875,123.75,1.19,0.36,8.61,0,0,0
46,-42.875,44.3125,122.4375,1.64,-1.15,8.39,0,0,0
47,-57.3125,68.75,116.3125,0.22,-2.69,7.38,0,0,0
48,-58.25,94.5625,84.0625,-1.12,-3.41,7.13,0,0,0
49,-38.9375,94.75,42.625,-1.25,-2.47,7.73,0,0,0
50,-30.0625,89.5,28.4375,-1,-2.09,8.19,0,0,0
51,-23.3125,86.875,17.5,0.63,-2.84,9.54,0,0,0
52,-16.6875,95.25,16.3125,0.21,-3.23,9.4,0,0,0
53,20.0625,104.9375,3,-1.56,-3.39,9.66,0,0,0
54,50.4375,82.5,-18.8125,-2.4,-2.38,10.76,0,0,0
55,48.625,66.5,-27.1875,-2.28,-1.07,11.76,0,0,0
56,14.75,33.5,-37,-2,-0.02,11.42,0,0,0
57,-4.625,15.5,-38.375,-2.21,0.16,10.97,0,0,0
58,-26.9375,-12.5625,-36.125,-1.38,0.47,10.08,0,0,0
59,-32.625,-14.4375,-23.75,-1.03,0.24,9.61,0,0,0
60,-31.5625,-8.4375,-14.9375,-1.1,0.02,8.95,0,0,0
61,-19.6875,6.5625,-0.25,-1.41,-0.29,8.83,0,0,0
62,0.5625,15.875,5.875,-1.81,-0.47,9.22,0,0,0
63,7.375,16.875,6.5,-1.75,-0.35,9.51,0,0,0
64,4.6875,13.875,6.3125,-1.49,-0.49,9.9,0,0,0
65,1.625,14.4375,4.375,-1.65,-0.91,9.99,0,0,0
66,4.1875,15.125,1.0625,-1.87,-1.16,10.16,0,0,0
67,11.9375,12.6875,-8.25,-2.64,-0.98,10.44,0,0,0
68,13.25,6.25,-14.125,-2.67,-0.85,10.45,0,0,0
69,10.125,-6.75,-26.125,-2.41,-0.61,10.33,0,0,0
70,4.25,-10.4375,-33.9375,-1.61,-0.77,9.92,0,0,0
71,6.5,-7.25,-35.1875,-1.6,-1.34,9.39,0,0,0
72,24.6875,5.6875,-39.8125,-2.1,-1.32,9.39,0,0,0
73,31.625,7.6875,-44.625,-2.35,-1.22,9.66,0,0,0
74,26.75,6.8125,-58.375,-2.6,-0.45,10.4,0,0,0
75,14.0625,5.0625,-65.5,-2.58,-0.38,10.49,0,0,0
76,-10.0625,3.5,-75,-2.01,-0.98,8.98,0,0,0
77,14.875,4.8125,-77.3125,-2.1,-1.03,7.7,0,0,0
78,45.6875,8.375,-76.5625,-1.88,-0.26,8,0,0,0
79,103,19.375,-66.125,-1.63,1.06,8.23,0,0,0
80,123.3125,22.9375,-56.8125,-1.51,1.37,8.24,0,0,0
81,152.3125,27,-31.125,-1.36,1.68,7.8,0,0,0
82,174.4375,30.8125,-7.875,-1.85,1.68,8.24,0,0,0
83,174.9375,19.6875,0.875,-3.03,2.5,9.15,0,0,0
84,162.25,4.6875,3,-3.05,3.15,9.88,0,0,0
85,144.8125,-6.75,3.0625,-2.76,3.26,10,0,0,0
86,105.875,-22.75,-0.3125,-2.31,3.17,9.57,0,0,0
87,80.9375,-30.4375,-2,-2.2,3.23,8.85,0,0,0
88,70.875,-31.4375,-2.125,-2.13,3.48,8.8,0,0,0
89,46.75,-28.5625,-0.9375,-1.78,3.87,8.85,0,0,0
90,10.8125,-25.6875,5.8125,-1.36,3.72,9.15,0,0,0
91,-8.6875,-23.25,8.875,-1.37,3.57,8.92,0,0,0
92,-30.125,-17.8125,7.4375,-1.88,2.97,8.23,0,0,0
93,-32.25,-18.75,3.1875,-1.69,3.55,8.7,0,0,0
94,-34,-21.5625,4.625,-1.49,3.85,9.09,0,0,0
95,-57.625,-31.125,16.125,-1.28,4.22,9.81,0,0,0
96,-106,-38.5625,26.9375,-1.43,3.84,9.98,0,0,0
97,-129.25,-37.6875,28.3125,-1.58,3.22,9.52,0,0,0
98,-164.25,-32.875,26.0625,-1.38,2.88,8.92,0,0,0
99,-171.25,-30.375,25.625,-1.23,2.43,8.68,0,0,0
