Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
1753,-0.019634954084936207,0.018544123302439753,-0.1734420944169365,-9.14,4.13,1.52,24.375,-3.0625,-34.875,1746516942.3136249
1754,-0.04799655442984406,-0.02945243112740431,-0.19198621771937624,-9.4,4.07,1.57,26.5625,-3.0625,-35.25,1746516942.330022
1755,-0.02945243112740431,-0.031634092692397225,-0.14726215563702155,-9.47,3.99,1.53,26.5625,-3.0625,-35.25,1746516942.3522534
1756,0.020725784867432664,-0.017453292519943295,-0.028361600344907856,-9.1,3.84,1.4000000000000001,26.5625,-3.0625,-35.25,1746516942.369376
1757,0.06326818538479445,-0.0545415391248228,0.061086523819801536,-8.72,3.83,1.4000000000000001,25.875,-3.375,-36.5625,1746516942.392749
1758,0.06326818538479445,-0.11671889372712078,-0.011999138607461015,-8.23,3.94,1.51,25.875,-3.375,-36.5625,1746516942.413278
1759,0.007635815477475192,-0.19525871006686563,-0.26616271092913524,-8.11,4.05,1.59,26.5625,-2.0,-38.1875,1746516942.4299147
1760,-0.04908738521234052,-0.20289452554434081,-0.559596191420682,-8.57,4.16,1.6600000000000001,26.5625,-2.0,-38.1875,1746516942.4526398
1761,-0.037088246604879506,-0.08290313946973066,-0.6337726846304409,-8.72,3.94,1.61,26.5625,-2.0,-38.1875,1746516942.4697998
1762,0.02945243112740431,0.09708393964218458,-0.6119560689805118,-8.700000000000001,3.84,1.73,24.375,-3.0625,-37.375,1746516942.4933927
1763,0.08835729338221293,0.210530341021816,-0.5323254218582705,-9.13,3.59,1.6,24.375,-3.0625,-37.375,1746516942.5132406
1764,0.11780972450961724,0.2530727415391778,-0.4428772976935611,-9.120000000000001,3.34,1.3800000000000001,24.75,-2.25,-37.375,1746516942.530658
1765,0.08944812416470939,0.19853120241435498,-0.49632800603588745,-9.49,3.31,1.36,24.75,-2.25,-37.375,1746516942.5537994
1766,0.038179077387375956,0.10362892433716332,-0.41233403578366035,-9.63,3.24,1.27,24.75,-2.25,-37.375,1746516942.570327
1767,-0.013089969389957472,-0.039269908169872414,-0.28579766501407144,-9.22,2.88,1.21,24.75,-0.875,-35.25,1746516942.592964
1768,-0.07635815477475191,-0.2083486794568231,-0.36979163526629855,-9.36,2.85,1.3900000000000001,24.75,-0.875,-35.25,1746516942.6133003
1769,-0.11780972450961724,-0.26616271092913524,-0.346884188833873,-9.58,2.9,1.3900000000000001,27.0,-1.1875,-35.25,1746516942.6306443
1770,-0.1832595714594046,-0.21489366415180183,-0.2454369260617026,-9.620000000000001,2.98,1.58,27.0,-1.1875,-35.25,1746516942.6530685
1771,-0.26725354171163174,-0.12435470920459599,-0.04363323129985824,-9.38,2.92,1.68,27.0,-1.1875,-35.25,1746516942.6709082
1772,-0.32506757318394386,-0.13853550937704992,-0.17998707911191522,-8.92,2.92,1.98,26.1875,-0.5,-37.375,1746516942.6929195
1773,-0.3621558197888234,-0.1461713248545251,-0.4276056667386107,-9.66,3.1,2.1,26.1875,-0.5,-37.375,1746516942.7133753
1774,-0.3785182815262702,-0.03490658503988659,-0.4243331743911214,-9.71,3.11,2.05,25.5,2.0625,-35.6875,1746516942.7312427
1775,-0.3687008044838021,0.08508480103472356,-0.2596177262341565,-9.42,2.77,2.18,25.5,2.0625,-35.6875,1746516942.7531326
1776,-0.30652344988150415,0.08072147790473774,-0.23452861823673804,-9.42,2.74,2.17,25.5,2.0625,-35.6875,1746516942.7712295
1777,-0.17016960206944712,0.06981317007977318,-0.25743606466916363,-9.53,2.7,2.1,24.75,1.6875,-37.375,1746516942.7929494
1778,-0.025089107997418487,0.07744898555724837,-0.26070855701665296,-9.71,2.71,2.07,24.75,1.6875,-37.375,1746516942.8133237
1779,0.07417649320975901,0.06544984694978735,-0.1559888018969932,-9.78,2.72,2.04,24.0,2.0625,-36.5625,1746516942.831562
1780,0.15489797111449674,0.02181661564992912,-0.044724062082354694,-9.42,2.5100000000000002,2.05,24.0,2.0625,-36.5625,1746516942.8530335
1781,0.2301652951067522,-0.050178215994836975,-0.06981317007977318,-9.42,2.52,2.02,24.375,3.0625,-34.875,1746516942.8715434
1782,0.2683443724941282,-0.08508480103472356,-0.15926129424448257,-9.58,2.57,1.83,24.375,3.0625,-34.875,1746516942.8927574
1783,0.2181661564992912,-0.07635815477475191,-0.23234695667174513,-9.67,2.64,1.73,24.375,3.0625,-34.875,1746516942.9143913
1784,0.11780972450961724,-0.04581489286485115,-0.17780541754692233,-9.68,2.71,1.77,26.1875,1.25,-36.875,1746516942.932047
1785,0.055632369907319255,-0.039269908169872414,-0.09926560120717749,-9.61,2.36,1.77,26.1875,1.25,-36.875,1746516942.9531415
1786,0.05781403147231216,-0.04581489286485115,-0.09272061651219876,-9.44,2.21,1.74,27.0,2.0625,-36.875,1746516942.9720054
1787,0.06872233929727672,-0.061086523819801536,-0.07417649320975901,-9.46,2.08,1.73,27.0,2.0625,-36.875,1746516942.9930797
1788,0.04145156973486533,-0.05781403147231216,0.00545415391248228,-9.16,2.22,1.96,27.0,2.0625,-36.875,1746516943.0133555
1789,0.015271630954950384,-0.09272061651219876,0.011999138607461015,-9.05,2.11,1.93,26.1875,3.0625,-36.0625,1746516943.0323458
1790,0.02181661564992912,-0.12871803233458182,-0.032724923474893676,-9.05,2.12,1.9100000000000001,26.1875,3.0625,-36.0625,1746516943.053285
1791,0.037088246604879506,-0.15817046346198613,-0.09490227807719166,-9.08,2.08,1.85,24.75,2.0625,-36.5625,1746516943.0723212
1792,0.037088246604879506,-0.16253378659197193,-0.09490227807719166,-9.24,2.21,1.84,24.75,2.0625,-36.5625,1746516943.0932531
1793,0.025089107997418487,-0.14180800172453928,-0.026179938779914945,-9.120000000000001,2.22,2.04,24.75,2.0625,-36.5625,1746516943.113448
1794,0.04690572364734761,-0.08835729338221293,-0.001090830782496456,-9.15,2.22,2.02,23.6875,1.25,-36.875,1746516943.1327994
1795,0.09926560120717749,0.015271630954950384,-0.07744898555724837,-8.94,2.05,1.87,23.6875,1.25,-36.875,1746516943.1532562
1796,0.10799224746714914,0.01090830782496456,-0.15271630954950383,-9.35,2.0100000000000002,1.74,24.0,1.6875,-36.0625,1746516943.1727672
1797,0.019634954084936207,-0.00545415391248228,-0.16689710972195776,-9.43,2.09,1.81,24.0,1.6875,-36.0625,1746516943.193135
1798,-0.05235987755982989,-0.05890486225480862,-0.19962203319685143,-9.540000000000001,1.98,1.9100000000000001,24.0,1.6875,-36.0625,1746516943.213575
1799,-0.0719948316447661,-0.07963064712224129,-0.23234695667174513,-9.64,2.05,1.85,25.5,1.6875,-38.5625,1746516943.2330005
1800,-0.0818123086872342,0.015271630954950384,-0.18216874067690814,-9.69,2.1,1.81,25.5,1.6875,-38.5625,1746516943.2533247
1801,-0.10799224746714914,0.05999569303730508,-0.11671889372712078,-9.36,2.19,1.8900000000000001,25.875,2.375,-38.1875,1746516943.2731013
