Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
0,0.0,0.0,-0.001090830782496456,0.02,0.01,9.790000000000001,17.5,10.5625,-52.6875,1744474916.665163
1,0.001090830782496456,-0.002181661564992912,-0.001090830782496456,0.01,0.03,9.81,17.5,10.5625,-52.6875,1744474916.6861262
2,0.0,0.0,-0.002181661564992912,0.02,0.01,9.8,17.875,10.1875,-52.0,1744474916.7050207
3,0.001090830782496456,-0.001090830782496456,0.0,0.03,0.02,9.77,17.875,10.1875,-52.0,1744474916.728506
4,0.0,-0.001090830782496456,-0.001090830782496456,0.02,0.01,9.81,17.0625,10.875,-52.375,1744474916.7453954
5,0.003272492347489368,0.0,-0.001090830782496456,0.02,0.02,9.8,17.0625,10.875,-52.375,1744474916.767753
6,0.002181661564992912,0.001090830782496456,0.0,0.01,0.03,9.75,17.0625,10.875,-52.375,1744474916.7871237
7,0.0,0.001090830782496456,-0.002181661564992912,0.01,0.0,9.81,16.375,10.5625,-52.0,1744474916.8053515
8,0.001090830782496456,-0.002181661564992912,0.0,0.0,0.01,9.81,16.375,10.5625,-52.0,1744474916.8291447
9,0.0,0.002181661564992912,-0.002181661564992912,0.02,0.04,9.8,17.5,10.1875,-52.0,1744474916.8459167
10,0.001090830782496456,0.0,0.0,0.02,0.03,9.77,17.5,10.1875,-52.0,1744474916.869643
11,0.001090830782496456,-0.002181661564992912,0.0,0.03,0.0,9.81,17.5,10.1875,-52.0,1744474916.888906
12,0.002181661564992912,-0.001090830782496456,-0.001090830782496456,0.0,0.02,9.790000000000001,16.75,10.875,-51.1875,1744474916.907801
13,-0.002181661564992912,-0.003272492347489368,0.001090830782496456,0.02,0.03,9.81,16.75,10.875,-51.1875,1744474916.9306977
14,0.002181661564992912,-0.001090830782496456,-0.002181661564992912,0.0,0.04,9.82,17.0625,10.5625,-51.1875,1744474916.9485664
15,0.0,-0.003272492347489368,0.002181661564992912,0.01,0.02,9.81,17.0625,10.5625,-51.1875,1744474916.9707067
16,-0.002181661564992912,-0.003272492347489368,0.0,0.01,0.01,9.8,17.0625,10.5625,-51.1875,1744474916.9883661
17,0.002181661564992912,0.003272492347489368,-0.002181661564992912,0.01,0.02,9.8,16.375,10.5625,-51.5,1744474917.0093417
18,-0.001090830782496456,0.002181661564992912,-0.002181661564992912,0.01,0.04,9.78,16.375,10.5625,-51.5,1744474917.0310903
19,0.0,-0.001090830782496456,-0.001090830782496456,0.02,0.01,9.81,16.375,11.25,-52.6875,1744474917.0506644
20,0.003272492347489368,0.0,-0.002181661564992912,0.02,0.03,9.77,16.375,11.25,-52.6875,1744474917.0704455
21,-0.002181661564992912,0.0,0.001090830782496456,0.02,0.02,9.8,16.375,11.25,-52.6875,1744474917.0888665
22,0.002181661564992912,0.001090830782496456,-0.002181661564992912,0.02,0.03,9.790000000000001,16.0625,10.875,-52.0,1744474917.110372
23,0.001090830782496456,0.001090830782496456,0.001090830782496456,0.03,0.04,9.8,16.0625,10.875,-52.0,1744474917.132015
