Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.003272492,0.001090831,0.001090831,-0.34,-0.31,9.39,0,0,0
2,-0.006544985,0.001090831,-0.002181662,-0.32,-0.34,9.38,0,0,0
3,-0.007635815,-0.003272492,-0.003272492,-0.33,-0.36,9.39,0,0,0
4,-0.008726646,0,-0.011999139,-0.33,-0.34,9.43,0,0,0
5,-0.011999139,0,-0.04145157,-0.33,-0.36,9.4,0,0,0
6,-0.019634954,-0.002181662,-0.135263017,-0.33,-0.34,9.39,0,0,0
7,-0.017453293,-0.002181662,-0.151625479,-0.38,-0.39,9.4,0,0,0
8,-0.017453293,-0.001090831,-0.177805418,-0.32,-0.36,9.37,0,0,0
9,-0.013089969,-0.005454154,-0.115628063,-0.3,-0.37,9.4,0,0,0
10,-0.008726646,-0.005454154,-0.087266463,-0.31,-0.39,9.4,0,0,0
11,-0.006544985,-0.004363323,-0.057814031,-0.33,-0.4,9.4,0,0,0
12,-0.013089969,-0.006544985,-0.052359878,-0.33,-0.36,9.38,0,0,0
13,-0.010908308,-0.006544985,-0.034906585,-0.33,-0.37,9.39,0,0,0
14,-0.004363323,-0.003272492,-0.006544985,-0.33,-0.38,9.42,0,0,0
15,-0.003272492,-0.006544985,-0.006544985,-0.34,-0.37,9.43,0,0,0
16,-0.009817477,-0.008726646,-0.025089108,-0.3,-0.41,9.41,0,0,0
17,-0.005454154,-0.005454154,-0.071994832,-0.27,-0.38,9.39,0,0,0
18,0,-0.002181662,-0.035997416,-0.3,-0.37,9.4,0,0,0
19,0.007635815,-0.006544985,-0.003272492,-0.32,-0.39,9.38,0,0,0
20,0.011999139,-0.003272492,-0.002181662,-0.31,-0.36,9.41,0,0,0
21,0.006544985,-0.005454154,-0.001090831,-0.32,-0.35,9.4,0,0,0
22,0.008726646,-0.010908308,0.013089969,-0.3,-0.35,9.4,0,0,0
23,0.016362462,-0.009817477,0.030543262,-0.25,-0.37,9.38,0,0,0
24,0.0141808,-0.004363323,0.126536371,-0.33,-0.37,9.4,0,0,0
25,0.017453293,-0.003272492,0.112355571,-0.32,-0.37,9.43,0,0,0
26,0.009817477,-0.001090831,0.093811447,-0.33,-0.35,9.41,0,0,0
27,0.005454154,0.001090831,0.052359878,-0.36,-0.31,9.41,0,0,0
28,0.005454154,0.004363323,0.0283616,-0.31,-0.33,9.39,0,0,0
29,0.003272492,0,0.017453293,-0.32,-0.36,9.4,0,0,0
30,-0.003272492,0.003272492,0.001090831,-0.32,-0.34,9.4,0,0,0
31,0,0.001090831,0,-0.32,-0.34,9.41,0,0,0
32,0,-0.002181662,-0.001090831,-0.31,-0.37,9.42,0,0,0
33,0.003272492,0,0.001090831,-0.31,-0.36,9.4,0,0,0
34,0.004363323,-0.003272492,0,-0.3,-0.35,9.4,0,0,0
35,0,0.001090831,-0.001090831,-0.29,-0.33,9.42,0,0,0
36,-0.001090831,0.002181662,0,-0.31,-0.33,9.42,0,0,0
37,0.003272492,0.002181662,0.001090831,-0.3,-0.35,9.37,0,0,0
38,0.001090831,0.001090831,0.001090831,-0.33,-0.33,9.39,0,0,0
39,0.004363323,-0.001090831,0.004363323,-0.32,-0.33,9.43,0,0,0
40,0.002181662,0.001090831,0.003272492,-0.3,-0.36,9.41,0,0,0
41,0.003272492,-0.001090831,0.001090831,-0.3,-0.36,9.39,0,0,0
42,0.004363323,-0.001090831,-0.001090831,-0.33,-0.33,9.39,0,0,0
43,0.003272492,-0.002181662,0.001090831,-0.32,-0.34,9.42,0,0,0
44,0.004363323,0.001090831,0.003272492,-0.32,-0.34,9.37,0,0,0
45,0,0,0.002181662,-0.33,-0.33,9.4,0,0,0
46,0.003272492,-0.004363323,0.001090831,-0.33,-0.36,9.4,0,0,0
47,0.002181662,-0.005454154,0.004363323,-0.3,-0.35,9.43,0,0,0
48,0.001090831,-0.002181662,0.022907446,-0.31,-0.34,9.4,0,0,0
49,0.002181662,-0.001090831,0.025089108,-0.33,-0.33,9.39,0,0,0
50,0.002181662,0.002181662,0.008726646,-0.33,-0.34,9.41,0,0,0
51,0.002181662,0,0.005454154,-0.31,-0.34,9.4,0,0,0
52,0,0,0.004363323,-0.32,-0.35,9.39,0,0,0
53,0,-0.001090831,0.016362462,-0.32,-0.36,9.41,0,0,0
54,0.003272492,-0.005454154,0.026179939,-0.33,-0.36,9.4,0,0,0
55,0.001090831,-0.002181662,0.025089108,-0.32,-0.34,9.4,0,0,0
56,0.004363323,0,0.020725785,-0.29,-0.35,9.41,0,0,0
57,0.003272492,0.002181662,0.019634954,-0.29,-0.37,9.42,0,0,0
58,0.003272492,0.001090831,0.030543262,-0.3,-0.34,9.39,0,0,0
59,0.009817477,0.001090831,0.062177355,-0.32,-0.36,9.36,0,0,0
60,0.008726646,0,0.070904001,-0.35,-0.29,9.42,0,0,0
61,0.005454154,-0.002181662,0.05563237,-0.33,-0.33,9.39,0,0,0
62,0.004363323,-0.001090831,0.035997416,-0.34,-0.33,9.4,0,0,0
63,0.003272492,-0.006544985,0.029452431,-0.32,-0.34,9.39,0,0,0
64,0.005454154,-0.004363323,0.044724062,-0.3,-0.36,9.41,0,0,0
65,0.004363323,-0.006544985,0.054541539,-0.31,-0.31,9.41,0,0,0
66,0.001090831,-0.005454154,0.051269047,-0.32,-0.29,9.41,0,0,0
67,-0.004363323,-0.003272492,0.0141808,-0.34,-0.29,9.4,0,0,0
68,-0.004363323,-0.006544985,0.001090831,-0.31,-0.34,9.39,0,0,0
69,-0.003272492,-0.003272492,-0.002181662,-0.33,-0.36,9.41,0,0,0
70,-0.004363323,-0.002181662,-0.003272492,-0.28,-0.33,9.4,0,0,0
71,-0.004363323,0,-0.007635815,-0.29,-0.36,9.4,0,0,0
72,0,-0.005454154,-0.007635815,-0.32,-0.34,9.4,0,0,0
73,0.001090831,-0.002181662,-0.008726646,-0.33,-0.32,9.39,0,0,0
74,0.005454154,-0.005454154,-0.007635815,-0.33,-0.33,9.34,0,0,0
75,0.006544985,-0.006544985,-0.001090831,-0.33,-0.36,9.39,0,0,0
76,0.004363323,-0.004363323,0,-0.33,-0.41,9.41,0,0,0
77,0.002181662,-0.005454154,-0.002181662,-0.34,-0.33,9.4,0,0,0
78,0.005454154,-0.008726646,-0.005454154,-0.39,-0.45,9.43,0,0,0
79,0.006544985,-0.016362462,-0.003272492,-0.37,-0.33,9.41,0,0,0
80,0,-0.010908308,-0.057814031,-0.25,-0.22,9.4,0,0,0
81,-0.002181662,-0.002181662,-0.063268185,-0.48,-0.61,9.41,0,0,0
82,-0.001090831,0.005454154,-0.141808002,-0.11,-0.06,9.37,0,0,0
83,-0.001090831,0.006544985,-0.058904862,-0.26,-0.32,9.4,0,0,0
84,0.005454154,0.001090831,0,-0.39,-0.46,9.4,0,0,0
85,0.013089969,-0.010908308,0.030543262,-0.31,-0.33,9.39,0,0,0
86,0.008726646,-0.011999139,0.031634093,-0.27,-0.23,9.4,0,0,0
87,0.003272492,-0.006544985,0.06981317,-0.24,-0.28,9.4,0,0,0
88,0.005454154,0.006544985,0.134172186,-0.35,-0.33,9.37,0,0,0
89,0.005454154,0.002181662,0.126536371,-0.32,-0.27,9.39,0,0,0
90,0.011999139,-0.005454154,0.08399397,-0.32,-0.35,9.39,0,0,0
91,0.0141808,-0.005454154,0.039269908,-0.29,-0.36,9.39,0,0,0
92,0.009817477,0.007635815,0.049087385,-0.27,-0.32,9.4,0,0,0
93,0.007635815,0.009817477,0.100356432,-0.29,-0.29,9.4,0,0,0
94,0.008726646,0.009817477,0.065449847,-0.3,-0.31,9.41,0,0,0
95,0.011999139,0.007635815,0.026179939,-0.31,-0.31,9.42,0,0,0
96,0.008726646,-0.006544985,-0.119991386,-0.31,-0.39,9.41,0,0,0
97,0.010908308,-0.008726646,-0.155988802,-0.3,-0.34,9.43,0,0,0
98,0.010908308,-0.006544985,-0.140717171,-0.29,-0.31,9.39,0,0,0
99,0.007635815,0.003272492,-0.110173909,-0.26,-0.28,9.4,0,0,0
100,0.009817477,0,-0.090538955,-0.31,-0.42,9.39,0,0,0
101,0.010908308,0,-0.070904001,-0.31,-0.53,9.39,0,0,0
102,0.016362462,0.008726646,0.026179939,-0.4,-0.79,9.41,0,0,0
103,0.016362462,0.009817477,0.057814031,-0.44,-0.71,9.39,0,0,0
104,0.025089108,0.001090831,-0.021816616,-0.5,-0.48,9.41,0,0,0
105,0.021816616,0,-0.064359016,-0.44,-0.5,9.42,0,0,0
106,0.031634093,0,-0.075267324,-0.22,-0.12,9.39,0,0,0
107,0.025089108,0.007635815,0.035997416,-0.32,-0.34,9.42,0,0,0
108,0.030543262,-0.002181662,0.011999139,-0.3,-0.31,9.4,0,0,0
109,0.025089108,-0.002181662,-0.053450708,-0.38,-0.35,9.4,0,0,0
110,0.019634954,0.001090831,-0.079630647,-0.2,-0.2,9.39,0,0,0
111,0.019634954,0.002181662,-0.010908308,-0.27,-0.47,9.39,0,0,0
112,0.018544123,0,0.031634093,-0.34,-0.61,9.42,0,0,0
113,0.0141808,0.004363323,0.038179077,-0.33,-0.68,9.41,0,0,0
114,0.0141808,0.007635815,0.0141808,-0.26,-0.3,9.39,0,0,0
115,0.0141808,0.003272492,-0.011999139,-0.29,0.02,9.42,0,0,0
116,0.006544985,-0.001090831,-0.031634093,-0.43,-0.25,9.41,0,0,0
117,0.004363323,-0.008726646,-0.06981317,-0.5,-0.24,9.39,0,0,0
118,-0.003272492,-0.002181662,-0.135263017,-0.21,0.03,9.39,0,0,0
119,0,-0.002181662,-0.087266463,-0.15,0.11,9.38,0,0,0
120,0.004363323,0.001090831,-0.045814893,-0.24,-0.34,9.44,0,0,0
121,0.004363323,0.008726646,0.058904862,-0.25,-0.35,9.38,0,0,0
122,0.002181662,0.007635815,0.051269047,-0.33,-0.63,9.41,0,0,0
123,-0.001090831,0.001090831,0.002181662,-0.43,-0.44,9.39,0,0,0
124,-0.004363323,-0.006544985,-0.102538094,-0.2,0.26,9.38,0,0,0
125,-0.001090831,0,-0.067631509,-0.45,-0.6,9.39,0,0,0
126,-0.001090831,0,-0.079630647,-0.22,-0.07,9.41,0,0,0
127,0,0,0.040360739,-0.28,-0.3,9.43,0,0,0
128,-0.003272492,0,0.032724923,-0.26,-0.35,9.42,0,0,0
129,-0.001090831,0.003272492,0.061086524,-0.34,-0.41,9.41,0,0,0
130,0,0.004363323,0.053450708,-0.35,-0.31,9.4,0,0,0
131,0,0.001090831,0.059995693,-0.28,-0.58,9.4,0,0,0
132,-0.002181662,-0.008726646,0.013089969,-0.35,-0.53,9.41,0,0,0
133,0,-0.010908308,-0.016362462,-0.28,-0.24,9.39,0,0,0
134,-0.002181662,0.002181662,0.019634954,-0.34,-0.15,9.39,0,0,0
135,-0.002181662,-0.002181662,0.046905724,-0.3,0,9.4,0,0,0
136,-0.001090831,0,0.058904862,-0.34,-0.25,9.39,0,0,0
137,-0.001090831,0.001090831,0.058904862,-0.33,-0.46,9.42,0,0,0
138,0.003272492,-0.002181662,0.008726646,-0.25,-0.3,9.4,0,0,0
139,-0.001090831,0.007635815,0.074176493,-0.35,-0.27,9.39,0,0,0
140,0,0.005454154,0.026179939,-0.38,-0.37,9.39,0,0,0
141,0.001090831,-0.001090831,0.011999139,-0.29,-0.38,9.4,0,0,0
142,0.002181662,-0.004363323,0.026179939,-0.32,-0.53,9.42,0,0,0
143,0.001090831,-0.006544985,0.013089969,-0.26,-0.65,9.41,0,0,0
144,-0.001090831,0.001090831,0.013089969,-0.32,-0.58,9.38,0,0,0
145,0,0.001090831,0.005454154,-0.28,-0.34,9.41,0,0,0
146,-0.002181662,0,0.016362462,-0.39,-0.2,9.41,0,0,0
147,-0.004363323,-0.002181662,0.020725785,-0.32,-0.1,9.38,0,0,0
148,-0.004363323,0,0.022907446,-0.41,0.11,9.41,0,0,0
149,-0.004363323,-0.001090831,0.008726646,-0.25,-0.06,9.41,0,0,0
150,0.001090831,0.002181662,0.05563237,-0.28,-0.1,9.41,0,0,0
151,0.002181662,0,0.065449847,-0.29,-0.63,9.42,0,0,0
152,0.001090831,0.002181662,0.076358155,-0.38,-0.56,9.41,0,0,0
153,-0.001090831,0.001090831,0.065449847,-0.33,-0.56,9.4,0,0,0
154,0.001090831,0.003272492,0.018544123,-0.42,-0.27,9.39,0,0,0
155,-0.003272492,-0.005454154,-0.122173048,-0.37,0,9.41,0,0,0
156,-0.005454154,-0.007635815,-0.155988802,-0.37,-0.08,9.41,0,0,0
157,-0.002181662,-0.001090831,-0.102538094,-0.25,-0.28,9.39,0,0,0
158,0.001090831,-0.001090831,-0.058904862,-0.23,-0.65,9.4,0,0,0
159,-0.001090831,0,-0.043633231,-0.27,-0.5,9.37,0,0,0
160,-0.002181662,0.008726646,0.008726646,-0.3,-0.61,9.38,0,0,0
161,-0.001090831,0.009817477,0.032724923,-0.31,-0.37,9.39,0,0,0
162,-0.002181662,0.006544985,-0.001090831,-0.44,-0.04,9.39,0,0,0
163,-0.003272492,0.004363323,-0.018544123,-0.45,0,9.42,0,0,0
164,-0.003272492,-0.003272492,-0.044724062,-0.35,-0.04,9.43,0,0,0
165,0.002181662,-0.003272492,0.002181662,-0.2,-0.22,9.4,0,0,0
166,0,-0.001090831,0.059995693,-0.32,-0.29,9.39,0,0,0
167,0,0.001090831,0.049087385,-0.42,-0.54,9.42,0,0,0
168,-0.002181662,-0.001090831,-0.013089969,-0.33,-0.31,9.39,0,0,0
169,-0.005454154,-0.002181662,-0.031634093,-0.27,-0.34,9.37,0,0,0
170,-0.007635815,0,-0.02727077,-0.32,-0.24,9.45,0,0,0
171,-0.005454154,-0.003272492,-0.017453293,-0.37,-0.2,9.4,0,0,0
172,-0.006544985,-0.006544985,-0.049087385,-0.34,-0.13,9.39,0,0,0
173,-0.008726646,-0.004363323,-0.019634954,-0.33,-0.21,9.41,0,0,0
174,-0.007635815,-0.003272492,-0.013089969,-0.22,-0.02,9.42,0,0,0
175,-0.004363323,0.002181662,0.045814893,-0.26,-0.3,9.38,0,0,0
176,-0.003272492,0.002181662,0.099265601,-0.33,-0.27,9.4,0,0,0
177,-0.007635815,-0.003272492,0.054541539,-0.44,-0.17,9.4,0,0,0
178,-0.006544985,-0.005454154,-0.044724062,-0.41,-0.27,9.4,0,0,0
179,-0.007635815,-0.008726646,-0.053450708,-0.3,-0.24,9.41,0,0,0
180,-0.005454154,-0.003272492,-0.025089108,-0.25,-0.24,9.39,0,0,0
